"1A0","JM75","Sovereign Military Order of Malta","EU"
"1S","FN30","Spratly Islands","AS"
"3A","JN33","Monaco","EU"
"3B[6,7]","LH89","Agalega and St. Brandon Islands","AF"
"3B8","LG89","Mauritius","AF"
"3B9","MH10","Rodriguez Island","AF"
"3C","JJ41","Equatorial Guinea","AF"
"3C0","JI28","Annobon Island","AF"
"3D2","RH81","Fiji","OC"
"3D2","RG78","Conway Reef","OC"
"3D2","RH87","Rotuma Island","OC"
"3DA","KG52","Eswatini","AF"
"3V","JM33","Tunisia","AF"
"(3W|XV)","OJ28","Vietnam","AS"
"3X","IJ39","Guinea","AF"
"3Y","JD15","Bouvet Island","AN"
"3Y","EC41","Peter I Island","AN"
"4[J,K]","LM28","Azerbaijan","AS"
"4L","LN01","Georgia","AS"
"4O","JN91","Montenegro","EU"
"4[P-S]","MJ96","Sri Lanka","AS"
"4U[0-9]ITU","JN36","ITU HQ","EU"
"4U[0-9]|4U[0-9]UN","FN30","United Nations HQ","NA"
"4W6","PI20","Timor-Leste","AS"
"4[XZ]","KM72","Israel","AS"
"5A","JL45","Libya","AF"
"5B|H2|C4","KM64","Cyprus","AS"
"5[H-I]","KH78","Tanzania","AF"
"5[N-O]","JJ16","Nigeria","AF"
"5[R-S]","LG15","Madagascar","AF"
"5T","IK16","Mauritania","AF"
"5U","JK02","Niger","AF"
"5V","JJ06","Togo","AF"
"5W","AH35","Samoa","OC"
"5X","KI48","Uganda","AF"
"5[Y-Z]","KI78","Kenya","AF"
"6[V-W]","IK12","Senegal","AF"
"6Y","FK08","Jamaica","NA"
"7O","LK12","Yemen","AS"
"7P","KF39","Lesotho","AF"
"7Q","KH65","Malawi","AF"
"7[T-Y]","IL56","Algeria","AF"
"8P","GK03","Barbados","NA"
"8Q","MI69","Maldives","AS"
"8R","FJ94","Guyana","SA"
"9A","JN64","Croatia","EU"
"9G","IJ84","Ghana","AF"
"9H","JM75","Malta","EU"
"9[I-J]","KH12","Zambia","AF"
"9K","LL38","Kuwait","AS"
"9L","IJ37","Sierra Leone","AF"
"9[M,W][2,4]","OJ02","West Malaysia","AS"
"9[M,W][6,8]","OJ41","East Malaysia","AS"
"9N","NL08","Nepal","AS"
"9[Q-T]","JI64","Democratic Republic of the Congo","AF"
"9U","KI45","Burundi","AF"
"9V","OJ11","Singapore","AS"
"9X","KI47","Rwanda","AF"
"9[Y-Z]","FK90","Trinidad and Tobago","NA"
"A2","KG03","Botswana","AF"
"A3","AG28","Tonga","OC"
"A4","LK66","Oman","AS"
"A5","NL46","Bhutan","AS"
"A6","LL52","United Arab Emirates","AS"
"A7","LL54","Qatar","AS"
"A9","LL55","Bahrain","AS"
"A[P-S]","ML05","Pakistan","AS"
"(B[A-R]|BT|BY)","MM68","China","AS"
"BS7","OK85","Scarborough Reef","AS"
"BV9P","OL80","Pratas Island","AS"
"BV|BX","PL01","Taiwan","AS"
"C2","RI39","Nauru","OC"
"C3","JN02","Andorra","EU"
"C5","IK13","The Gambia","AF"
"C6","FL04","Bahamas","NA"
"C[8-9]","KG56","Mozambique","AF"
"(C[A-E]|XQ[1-8])","FD26","Chile","SA"
"CE0","DG52","Easter Island","SA"
"CE0","EF96","Juan Fernandez Islands","SA"
"CE0","EG93","San Felix Islands","SA"
"KC4","FM05","Antarctica","AN"
"CE9","AA00","Antarctica","AN"
"C[M,O]","EL71","Cuba","NA"
"CN","IL23","Morocco","AF"
"CP","FG58","Bolivia","SA"
"C[Q-T][3,9]|CQ2","IM12","Madeira Islands","AF"
"(C[Q-T][0,5,6,7])|CT1|CT2|CT4|CQ4","IM56","Portugal","EU"
"CU|CQ[1,8]|CT8","HM49","Azores","EU"
"C[V-X]","GF05","Uruguay","SA"
"CY0","FN93","Sable Island","NA"
"CY9","FN97","St. Paul Island","NA"
"D[2-3]","JH52","Angola","AF"
"D4","HK74","Cape Verde","AF"
"D6","LH17","Comoros","AF"
"DP0","IB59","Antarctica","AN"
"D[A-R]|Y3","JN37","Germany","EU"
"D[U-Z]|4[F,I]","OJ88","Philippines","AS"
"E3","KK84","Eritrea","AF"
"E4","KM71","Palestine","AS"
"E5","AH78","North Cook Islands","OC"
"E5","AH81","South Cook Islands","OC"
"E6","AH50","Niue","OC"
"E7","JN83","Bosnia and Herzegovina","EU"
"(E[A-H][0-5,7]|A[M,N,O][0-5,7])","IM66","Spain","EU"
"(E[A-H]6|A[M,N,O]6)","JM08","Balearic Islands","EU"
"(E[A-H]8|A[M,N,O]8)","IL07","Canary Islands","AF"
"(E[A-H]9|A[M,N,O]9)","IM75","Ceuta and Melilla","AF"
"E[I-J]","IO51","Ireland","EU"
"EK","LM29","Armenia","AS"
"EL","IJ46","Liberia","AF"
"E[P-Q]","LL58","Iran","AS"
"ER","KN37","Moldova","EU"
"ES","KO17","Estonia","EU"
"ET","KJ67","Ethiopia","AF"
"E[U,V,W]","KO11","Belarus","EU"
"EX","MM49","Kyrgyzstan","AS"
"EY","MM37","Tajikistan","AS"
"EZ","LM67","Turkmenistan","AS"
"FG","FK95","Guadeloupe","NA"
"FJ","FK87","Saint Barthelemy","NA"
"FS","FK88","Saint Martin","NA"
"FH","LH26","Mayotte","AF"
"FK","RG19","New Caledonia","OC"
"FM","FK94","Martinique","NA"
"FO","BG28","French Polynesia","OC"
"FO","DK50","Austral Islands","OC"
"FO","BG89","Marquesas Islands","OC"
"FO","BI91","Clipperton Island","NA"
"FP","GN16","Saint Pierre and Miquelon","NA"
"FR/G","LH38","Glorioso Islands","AF"
"FR/J, E","LG07","Juan de Nova, Europa","AF"
"(FR|TO)","LG78","Reunion Island","AF"
"FR/T","LH74","Tromelin Island","AF"
"TX0","LH13","Chesterfield Islands","OC"
"FT8W","LE53","Crozet Island","AF"
"FT8X","ME40","Kerguelen Islands","AF"
"FT8Z","MF81","Amsterdam & St. Paul Islands","AF"
"FW","AH16","Wallis and Futuna Islands","OC"
"FY","GJ22","French Guiana","SA"
"(F|F[0-9]|F[B,D,E,F,U,V]|T[H,M,Q,V,W,X]|H[W,X,Y])","IN77","France","EU"
"(G[M,S]|2M|MM)","IO65","Scotland","EU"
"(G[0-9,A,B,F,G,X]|M|2E)","IO70","England","EU"
"(2D|G[D,T]|M[D,T])","IO74","Isle of Man","EU"
"G[I,N]","IO54","Northern Ireland","EU"
"G[J,H]","IN89","Jersey","EU"
"G[U,P]","IN89","Guernsey","EU"
"G[W,C]|2W","IO71","Wales","EU"
