"1A0","JM75","Sovereign Military Order of Malta"
"1S","FN30","Spratly Islands"
"3A","JN33","Monaco"
"3B[6,7]","LH89","Agalega and St. Brandon Islands"
"3B8","LG89","Mauritius"
"3B9","MH10","Rodriguez Island"
"3C","JJ41","Equatorial Guinea"
"3C0","JI28","Annobon Island"
"3D2","RH81","Fiji"
"3D2","RG78","Conway Reef"
"3D2","RH87","Rotuma Island"
"3DA","KG52","Eswatini"
"3V","JM33","Tunisia"
"(3W|XV)","OJ28","Vietnam"
"3X","IJ39","Guinea"
"3Y","JD15","Bouvet Island"
"3Y","EC41","Peter I Island"
"4[J,K]","LM28","Azerbaijan"
"4L","LN01","Georgia"
"4O","JN91","Montenegro"
"4[P-S]","MJ96","Sri Lanka"
"4U[0-9]ITU","JN36","ITU HQ"
"4U[0-9]|4U[0-9]UN","FN30","United Nations HQ"
"4W6","PI20","Timor-Leste"
"4[X-Z]","KM72","Israel"
"5A","JL45","Libya"
"5B|H2|C4","KM64","Cyprus"
"5[H-I]","KH78","Tanzania"
"5[N-O]","JJ16","Nigeria"
"5[R-S]","LG15","Madagascar"
"5T","IK16","Mauritania"
"5U","JK02","Niger"
"5V","JJ06","Togo"
"5W","AH35","Samoa"
"5X","KI48","Uganda"
"5[Y-Z]","KI78","Kenya"
"6[V-W]","IK12","Senegal"
"6Y","FK08","Jamaica"
"7O","LK12","Yemen"
"7P","KF39","Lesotho"
"7Q","KH65","Malawi"
"7[T-Y]","IL56","Algeria"
"8P","GK03","Barbados"
"8Q","MI69","Maldives"
"8R","FJ94","Guyana"
"9A","JN64","Croatia"
"9G","IJ84","Ghana"
"9H","JM75","Malta"
"9[I-J]","KH12","Zambia"
"9K","LL38","Kuwait"
"9L","IJ37","Sierra Leone"
"9[M,W][2,4]","OJ02","West Malaysia"
"9[M,W][6,8]","OJ41","East Malaysia"
"9N","NL08","Nepal"
"9[Q-T]","JI64","Democratic Republic of the Congo"
"9U","KI45","Burundi"
"9V","OJ11","Singapore"
"9X","KI47","Rwanda"
"9[Y-Z]","FK90","Trinidad and Tobago"
"A2","KG03","Botswana"
"A3","AG28","Tonga"
"A4","LK66","Oman"
"A5","NL46","Bhutan"
"A6","LL52","United Arab Emirates"
"A7","LL54","Qatar"
"A9","LL55","Bahrain"
"A[P-S]","ML05","Pakistan"
"(B[A-R]|BT|BY)","MM68","China"
"BS7","OK85","Scarborough Reef"
"BV9P","OL80","Pratas Island"
"BV|BX","PL01","Taiwan"
"C2","RI39","Nauru"
"C3","JN02","Andorra"
"C5","IK13","The Gambia"
"C6","FL04","Bahamas"
"C[8-9]","KG56","Mozambique"
"(C[A-E]|XQ[1-8])","FD26","Chile"
"CE0","DG52","Easter Island"
"CE0","EF96","Juan Fernandez Islands"
"CE0","EG93","San Felix Islands"
"KC4","FM05","Antarctica"
"CE9","AA00","Antarctica"
"C[M,O]","EL71","Cuba"
"CN","IL23","Morocco"
"CP","FG58","Bolivia"
"C[Q-T][3,9]|CQ2","IM12","Madeira Islands"
"(C[Q-T][0,5,6,7])|CT1|CT2|CT4|CQ4","IM56","Portugal"
"CU|CQ[1,8]|CT8","HM49","Azores"
"C[V-X]","GF05","Uruguay"
"CY0","FN93","Sable Island"
"CY9","FN97","St. Paul Island"
"D[2-3]","JH52","Angola"
"D4","HK74","Cape Verde"
"D6","LH17","Comoros"
"D[A-R]","JN37","Germany"
"D[U-Z]|4[F,I]","OJ88","Philippines"
"E3","KK84","Eritrea"
"E4","KM71","Palestine"
"E5","AH78","North Cook Islands"
"E5","AH81","South Cook Islands"
